Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Cristiano Ronaldo,05/02/1985,49.5,Juventus,F,33,2807,29,23,3,5.35,1.15,29.84+0.84,23.75+0.75,3.85+0.85,28.64,8.92,0.96,0.76,0.12,1.08,0.89,0.92,0.29,3,0
Álvaro Morata,23/10/1992,49.5,Juventus,F,32,2019,11,10,9,2.5,1.78,12.07+1.07,11.30+1.30,5.67-3.33,19.8,4.52,0.54,0.5,0.25,0.79,0.76,0.88,0.2,3,1
Federico Chiesa,25/10/1997,66,Juventus,D M,30,2261,8,8,8,2.39,1.79,7.54-0.46,7.54-0.46,8.30+0.30,20.23,6.92,0.3,0.3,0.33,0.63,0.63,0.81,0.28,3,1
Weston McKennie,28/08/1998,27.5,Juventus,M,34,1684,5,5,2,1.5,1.39,5.20+0.20,5.20+0.20,3.88+1.88,11.35,5.91,0.28,0.28,0.21,0.49,0.49,0.61,0.32,5,0
Paulo Dybala,15/09/1993,55,Juventus,F,20,1131,4,4,3,4.06,2.39,4.80+0.80,4.80+0.80,3.16+0.16,12.58,6.72,0.38,0.38,0.25,0.63,0.63,1,0.53,0,0
Adrien Rabiot,03/04/1995,33,Juventus,M,34,2310,4,4,2,1.29,0.39,2.82-1.18,2.82-1.18,1.77-0.23,13.16,9.67,0.11,0.11,0.07,0.18,0.18,0.51,0.38,5,1
Dejan Kulusevski,25/04/2000,44,Juventus,D F M,35,1917,4,4,3,1.6,2.44,3.33-0.67,3.33-0.67,6.33+3.33,16.38,8.57,0.16,0.16,0.3,0.45,0.45,0.77,0.4,7,0
Aaron Ramsey,26/12/1990,15.4,Juventus,M,22,1105,2,2,4,1.95,2.52,4.65+2.65,4.65+2.65,3.78-0.22,12.46,4.78,0.38,0.38,0.31,0.69,0.69,1.01,0.39,2,0
Juan Cuadrado,26/05/1988,17.6,Juventus,D M,30,2185,2,1,10,0.78,2.47,2.45+0.45,1.69+0.69,10,17.96,13.35,0.1,0.07,0.41,0.51,0.48,0.74,0.55,9,1
Leonardo Bonucci,01/05/1987,8.8,Juventus,D,26,2037,2,2,0,0.71,0.13,3.65+1.65,3.65+1.65,0.87+0.87,8.38,8.04,0.16,0.16,0.04,0.2,0.2,0.37,0.36,3,0
Alex Sandro,26/01/1991,22,Juventus,D,26,1857,2,2,1,0.63,0.87,1.78-0.22,1.78-0.22,2.10+1.10,13.93,11.55,0.09,0.09,0.1,0.19,0.19,0.67,0.56,2,0
Danilo,15/07/1991,22,Juventus,D M,34,2922,1,1,4,0.59,0.77,1.83+0.83,1.83+0.83,3.41-0.59,19.31,16.05,0.06,0.06,0.11,0.16,0.16,0.59,0.49,6,0
Arthur,12/08/1996,44,Juventus,M,22,1154,1,1,0,0.23,1.33,0.16-0.84,0.16-0.84,1.21+1.21,9.97,8.81,0.01,0.01,0.09,0.11,0.11,0.78,0.69,3,0
Matthijs de Ligt,12/08/1999,82.5,Juventus,D,27,2220,1,1,1,0.77,0.36,0.94-0.06,0.94-0.06,1.01+0.01,10.94,10.9,0.04,0.04,0.04,0.08,0.08,0.44,0.44,4,0
Douglas Costa,14/09/1990,6.6,Juventus,S,2,38,0,0,0,0,2.37,0,0,0.05+0.05,0.6,0.6,0,0,0.11,0.11,0.11,1.42,1.42,0,0
Mattia De Sciglio,20/10/1992,8.25,Juventus,S,1,23,0,0,0,3.91,0,0.03+0.03,0.03+0.03,0,0.03,0,0.13,0.13,0,0.13,0.13,0.13,0,0,0
Federico Bernardeschi,16/02/1994,16.5,Juventus,D M,27,945,0,0,2,1.24,2.29,1.67+1.67,1.67+1.67,3.31+1.31,6.39,3.22,0.16,0.16,0.32,0.47,0.47,0.61,0.31,3,0
Giorgio Chiellini,14/08/1984,1.65,Juventus,D,17,1391,0,0,1,0.39,0.13,0.58+0.58,0.58+0.58,0.67-0.33,8.07,8.07,0.04,0.04,0.04,0.08,0.08,0.52,0.52,4,0
Giacomo Vrioni,15/10/1998,0.385,Juventus,S,1,1,0,0,0,0,90,0,0,0.12+0.12,0.12,0.12,0,0,11.24,11.24,11.24,11.24,11.24,0,0
Gianluca Frabotta,24/06/1999,2.75,Juventus,D M,15,672,0,0,1,0.67,0.54,0.30+0.30,0.30+0.30,0.94-0.06,4.14,3.55,0.04,0.04,0.13,0.17,0.17,0.55,0.48,5,0
Carlo Pinsoglio,16/03/1990,0.44,Juventus,S,1,21,0,0,0,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0.38,0.38,0,0
Rodrigo Bentancur,25/06/1997,38.5,Juventus,M,33,2340,0,0,4,0.58,1.12,0.59+0.59,0.59+0.59,2.68-1.32,17.91,16.25,0.02,0.02,0.1,0.13,0.13,0.69,0.63,6,1
Nicolo Fagioli,12/02/2001,1.32,Juventus,S,1,16,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0.22,0.22,0,0
Merih Demiral,05/03/1998,30.8,Juventus,D,15,931,0,0,1,0.58,0.39,0.79+0.79,0.79+0.79,0.78-0.22,4.24,4.24,0.08,0.08,0.08,0.15,0.15,0.41,0.41,1,0
Wojciech Szczesny,18/04/1990,27.5,Juventus,GK,30,2679,0,0,1,0,0.03,0,0,0.11-0.89,7.22,7.22,0,0,0,0,0,0.24,0.24,0,0
Gianluigi Buffon,28/01/1978,1.1,Juventus,GK,8,720,0,0,0,0,0,0,0,0,1.72,1.72,0,0,0,0,0,0.22,0.22,0,0
Manolo Portanova,02/06/2000,1.1,Juventus,M,2,70,0,0,0,6.43,0,0.51+0.51,0.51+0.51,0,0.45,0.02,0.66,0.66,0,0.66,0.66,0.57,0.02,1,0
Radu Dragusin,03/02/2002,3.3,Juventus,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Di Pardo,18/07/1999,0.248,Juventus,S,4,7,0,0,0,0,12.86,0,0,0.02+0.02,0.02,0,0,0,0.27,0.27,0.27,0.27,0,0,0
Felix Correia,22/01/2001,2.2,Juventus,S,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zlatan Ibrahimovic,03/10/1981,4.4,AC Milan,F,19,1503,15,12,2,4.79,1.14,16.25+1.25,11.69-0.31,1.42-0.58,11.79,3.01,0.97,0.7,0.08,1.06,0.78,0.71,0.18,2,1
Franck Kessié,19/12/1996,60.5,AC Milan,M,37,3231,13,2,4,1.36,0.89,13.50+0.50,3.60+1.60,3.91-0.09,16.19,11.07,0.38,0.1,0.11,0.48,0.21,0.45,0.31,8,0
Ante Rebic,21/09/1993,35.2,AC Milan,F M,27,1783,11,11,4,2.17,1.92,7.28-3.72,7.28-3.72,6.70+2.70,14.17,2.43,0.37,0.37,0.34,0.71,0.71,0.72,0.12,4,1
Theo Hernández,06/10/1997,55,AC Milan,D,33,2940,7,7,5,1.47,1.29,4.43-2.57,4.43-2.57,5.14+0.14,16.05,10.37,0.14,0.14,0.16,0.29,0.29,0.49,0.32,9,0
Rafael Leão,10/06/1999,27.5,AC Milan,F M,30,1938,6,6,6,2,1.25,7.03+1.03,7.03+1.03,4.89-1.11,13.91,3.83,0.33,0.33,0.23,0.55,0.55,0.65,0.18,5,0
Hakan Calhanoglu,08/02/1994,38.5,AC Milan,M,33,2641,4,3,9,2.86,3.31,4.76+0.76,4.00+1.00,8.86-0.14,15.45,9.75,0.16,0.14,0.3,0.46,0.44,0.53,0.33,4,0
Brahim Diaz,03/08/1999,16.5,AC Milan,M,27,1254,4,4,3,1.87,1.36,3.59-0.41,3.59-0.41,1.37-1.63,6.5,3.06,0.26,0.26,0.1,0.36,0.36,0.47,0.22,2,0
Davide Calabria,06/12/1996,27.5,AC Milan,D M,32,2652,2,2,1,0.81,0.71,1.95-0.05,1.95-0.05,1.77+0.77,8.92,5.88,0.07,0.07,0.06,0.13,0.13,0.3,0.2,7,0
Alexis Saelemaekers,27/06/1999,19.8,AC Milan,D M,32,2065,2,2,4,1.22,1.31,3.00+1.00,3.00+1.00,3.18-0.82,12.02,6.44,0.13,0.13,0.14,0.27,0.27,0.52,0.28,5,1
Jens Petter Hauge,12/10/1999,10.45,AC Milan,M,18,498,2,2,0,1.27,1.99,1.00-1.00,1.00-1.00,1.32+1.32,3.35,1.14,0.18,0.18,0.24,0.42,0.42,0.61,0.21,0,0
Fikayo Tomori,19/12/1997,30.8,AC Milan,D,17,1466,1,1,0,0.31,0,0.98-0.02,0.98-0.02,0,5,5,0.06,0.06,0,0.06,0.06,0.31,0.31,0,0
Alessio Romagnoli,12/01/1995,27.5,AC Milan,D,22,1905,1,1,1,0.71,0.14,2.88+1.88,2.88+1.88,0.97-0.03,3.95,3.93,0.14,0.14,0.05,0.18,0.18,0.19,0.19,7,0
Rade Krunic,07/10/1993,6.6,AC Milan,M,25,688,1,1,2,1.05,1.05,0.71-0.29,0.71-0.29,1.28-0.72,3,1.93,0.09,0.09,0.17,0.26,0.26,0.39,0.25,3,0
Samu Castillejo,18/01/1995,8.8,AC Milan,M,28,1154,1,1,0,1.95,0.78,2.66+1.66,2.66+1.66,0.90+0.90,5.59,2.69,0.21,0.21,0.07,0.28,0.28,0.44,0.21,5,0
Diogo Dalot,18/03/1999,11,AC Milan,D,21,1070,1,1,1,0.84,0.76,0.51-0.49,0.51-0.49,0.96-0.04,4.29,3.05,0.04,0.04,0.08,0.12,0.12,0.36,0.26,5,0
Pierre Kalulu Kyatengwa,05/06/2000,7.7,AC Milan,D,13,725,1,1,1,0.37,0.74,0.77-0.23,0.77-0.23,0.68-0.32,2.86,2.72,0.09,0.09,0.08,0.18,0.18,0.36,0.34,1,0
Gianluigi Donnarumma,25/02/1999,66,AC Milan,GK,37,3330,0,0,0,0,0,0,0,0,4.62,4.62,0,0,0,0,0,0.12,0.12,1,0
Soualiho Meité,17/03/1994,5.5,AC Milan,M,16,566,0,0,0,1.11,0.8,0.25+0.25,0.25+0.25,0.49+0.49,3.96,3.39,0.04,0.04,0.08,0.12,0.12,0.63,0.54,2,0
Simon Kjaer,26/03/1989,11,AC Milan,D,28,2403,0,0,2,0.6,0.26,1.03+1.03,1.03+1.03,1.19-0.81,6.94,6.61,0.04,0.04,0.04,0.08,0.08,0.26,0.25,3,0
Matteo Gabbia,21/10/1999,9.35,AC Milan,D,8,556,0,0,0,0.81,0,0.72+0.72,0.72+0.72,0,1.36,1.35,0.12,0.12,0,0.12,0.12,0.22,0.22,2,0
Ismael Bennacer,01/12/1997,41.8,AC Milan,M,21,1345,0,0,2,0.8,0.33,0.93+0.93,0.93+0.93,0.53-1.47,5.95,4.53,0.06,0.06,0.04,0.1,0.1,0.4,0.3,4,0
Sandro Tonali,08/05/2000,29.7,AC Milan,M,25,1342,0,0,0,0.67,1.07,0.43+0.43,0.43+0.43,1.24+1.24,5.09,4.76,0.03,0.03,0.08,0.11,0.11,0.34,0.32,1,1
Mario Mandzukic,21/05/1986,0.88,AC Milan,F,10,201,0,0,0,2.24,1.34,1.11+1.11,1.11+1.11,0.17+0.17,1.02,0.02,0.5,0.5,0.08,0.57,0.57,0.46,0.01,1,0
Ciprian Tatarusanu,09/02/1986,0.66,AC Milan,GK,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Colombo,08/03/2002,1.1,AC Milan,F,4,89,0,0,0,4.04,0,0.42+0.42,0.42+0.42,0,0.42,0,0.42,0.42,0,0.42,0.42,0.42,0,0,0
Mateo Musacchio,26/08/1990,2.2,AC Milan,S,1,33,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.15,0.15,0,0
Andrea Conti,02/03/1994,4.95,AC Milan,S,3,22,0,0,0,0,4.09,0,0,0.18+0.18,0.77,0.77,0,0,0.73,0.73,0.73,3.13,3.13,0,0
Léo Duarte,17/07/1996,2.42,AC Milan,S,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Maldini,11/10/2001,0.88,AC Milan,S,5,17,0,0,0,5.29,0,0.18+0.18,0.18+0.18,0,0.18,0,0.94,0.94,0,0.94,0.94,0.94,0,0,0
Luis Muriel,16/04/1991,33,Atalanta,F M,36,1434,22,20,8,5.4,2.89,16.69-5.31,14.41-5.59,4.89-3.11,23.75,6.24,1.05,0.9,0.31,1.35,1.21,1.49,0.39,0,0
Duván Zapata,01/04/1991,36.3,Atalanta,F M,37,2407,15,14,9,3.66,1.57,18.04+3.04,17.28+3.28,6.08-2.92,27.76,7.63,0.67,0.65,0.23,0.9,0.87,1.04,0.29,0,0
Robin Gosens,05/06/1994,38.5,Atalanta,D M,32,2545,11,11,6,1.84,1.03,9.20-1.80,9.20-1.80,3.66-2.34,19.7,9.91,0.33,0.33,0.13,0.45,0.45,0.7,0.35,7,1
Ruslan Malinovskiy,04/05/1993,33,Atalanta,F M,36,1896,8,7,12,3.18,3.8,5.49-2.51,4.73-2.27,10.38-1.62,20.16,9.69,0.26,0.22,0.49,0.75,0.72,0.96,0.46,3,0
Mario Pasalic,09/02/1995,25.3,Atalanta,M,25,1100,6,6,2,1.64,1.39,4.46-1.54,4.46-1.54,3.00+1.00,12.33,5.93,0.36,0.36,0.25,0.61,0.61,1.01,0.49,2,0
Josip Ilicic,29/01/1988,6.6,Atalanta,F M,28,1527,6,4,9,3.48,3.6,5.75-0.25,4.23+0.23,10.87+1.87,17.91,7.25,0.34,0.25,0.64,0.98,0.89,1.06,0.43,2,0
Alejandro Gomez,15/02/1988,9.9,Atalanta,F M,10,676,4,4,2,3.86,2.53,2.73-1.27,2.73-1.27,1.62-0.38,6.29,3.82,0.36,0.36,0.22,0.58,0.58,0.84,0.51,0,0
Aleksey Miranchuk,17/10/1995,16.5,Atalanta,M,25,641,4,4,2,2.11,1.97,1.58-2.42,1.58-2.42,2.12+0.12,7.14,4.5,0.22,0.22,0.3,0.52,0.52,1,0.63,0,0
Rafael Toloi,10/10/1990,16.5,Atalanta,D,31,2542,2,2,0,1.03,0.53,3.29+1.29,3.29+1.29,0.89+0.89,12.48,10.51,0.12,0.12,0.03,0.15,0.15,0.44,0.37,10,0
Remo Freuler,15/04/1992,27.5,Atalanta,M,34,2726,2,2,3,0.66,0.99,2.01+0.01,2.01+0.01,3.95+0.95,16.84,13.42,0.07,0.07,0.13,0.2,0.2,0.56,0.44,5,0
Hans Hateboer,09/01/1994,19.8,Atalanta,D M,22,1769,2,2,1,1.37,1.02,3.95+1.95,3.95+1.95,1.66+0.66,16.09,11.72,0.2,0.2,0.08,0.29,0.29,0.82,0.6,3,0
Matteo Pessina,21/04/1997,22,Atalanta,M,28,1667,2,2,2,1.19,1.46,2.49+0.49,2.49+0.49,2.94+0.94,13.36,8.99,0.13,0.13,0.16,0.29,0.29,0.72,0.49,2,0
Cristian Romero,27/04/1998,33,Atalanta,D,31,2552,2,2,2,0.49,0.32,1.36-0.64,1.36-0.64,0.84-1.16,11.66,11,0.05,0.05,0.03,0.08,0.08,0.41,0.39,10,0
Marten de Roon,29/03/1991,25.3,Atalanta,M,35,3021,1,1,1,0.51,0.57,0.60-0.40,0.60-0.40,1.14+0.14,17.31,16.03,0.02,0.02,0.03,0.05,0.05,0.52,0.48,8,1
José Luis Palomino,05/01/1990,11,Atalanta,D,36,2413,1,1,2,0.19,0.3,0.27-0.73,0.27-0.73,1.12-0.88,8.5,7.4,0.01,0.01,0.04,0.05,0.05,0.32,0.28,3,0
Marco Sportiello,10/05/1992,2.2,Atalanta,GK,15,1259,0,0,0,0,0,0,0,0,1.88,1.88,0,0,0,0,0,0.13,0.13,0,0
Pierluigi Gollini,18/03/1995,18.7,Atalanta,GK,25,2158,0,0,0,0,0.04,0,0,0.04+0.04,2.04,2,0,0,0,0,0,0.08,0.08,0,1
Berat Gjimshiti,19/02/1993,24.2,Atalanta,D,33,2623,0,0,3,0.72,0.75,1.75+1.75,1.75+1.75,3.44+0.44,10.58,9.99,0.06,0.06,0.12,0.18,0.18,0.36,0.34,8,0
Joakim Maehle,20/05/1997,14.3,Atalanta,D M,20,1208,0,0,2,1.56,1.04,1.34+1.34,1.34+1.34,1.58-0.42,6.88,4.48,0.1,0.1,0.12,0.22,0.22,0.51,0.33,0,0
Johan Mojica,21/08/1992,2.2,Atalanta,D M,11,293,0,0,0,1.23,1.23,0.11+0.11,0.11+0.11,0.65+0.65,1.44,1.24,0.03,0.03,0.2,0.23,0.23,0.44,0.38,1,0
Sam Lammers,30/04/1997,6.6,Atalanta,F,15,269,2,2,0,3.01,1.34,1.38-0.62,1.38-0.62,0.39+0.39,3.31,2.37,0.46,0.46,0.13,0.59,0.59,1.11,0.79,0,0
Bosko Sutalo,01/01/2000,3.85,Atalanta,D,7,228,0,0,0,0,0.79,0,0,0.16+0.16,1.8,1.67,0,0,0.06,0.06,0.06,0.71,0.66,0,0
Matteo Ruggeri,11/07/2002,2.2,Atalanta,D,6,210,0,0,0,0.86,0.43,0.07+0.07,0.07+0.07,0.01+0.01,1.09,1.05,0.03,0.03,0.01,0.03,0.03,0.47,0.45,0,0
Fabio Depaoli,24/04/1997,3.85,Atalanta,D M,5,191,0,0,0,0,1.41,0,0,0.16+0.16,0.8,0.64,0,0,0.07,0.07,0.07,0.38,0.3,0,0
Mattia Caldara,05/05/1994,5.5,Atalanta,D,6,105,0,0,0,1.71,0,0.43+0.43,0.43+0.43,0,0.85,0.85,0.37,0.37,0,0.37,0.37,0.72,0.72,1,0
Cristiano Piccini,26/09/1992,2.42,Atalanta,S,1,66,0,0,0,1.36,0,0.04+0.04,0.04+0.04,0,0.04,0.04,0.05,0.05,0,0.05,0.05,0.05,0.05,0,0
Amad Diallo Traore,11/07/2002,19.8,Atalanta,S,1,12,0,0,0,7.5,7.5,0.03+0.03,0.03+0.03,0.05+0.05,0.1,0.02,0.21,0.21,0.37,0.58,0.58,0.72,0.14,1,0
Davide Ghislandi,16/06/2001,0.495,Atalanta,S,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viktor Kovalenko,14/02/1996,5.5,Atalanta,S,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Gyabuaa,21/09/2001,0.715,Atalanta,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianluca Lapadula,07/02/1990,3.85,Benevento,F,37,2596,8,8,2,2.6,1.14,10.25+2.25,9.49+1.49,3.80+1.80,11.75,2.02,0.36,0.33,0.13,0.49,0.46,0.41,0.07,2,0
Gianluca Caprari,30/06/1993,6.6,Benevento,F M,30,1900,5,5,6,2.27,1.61,3.83-1.17,3.07-1.93,2.46-3.54,6.26,2.6,0.18,0.15,0.12,0.3,0.26,0.3,0.12,4,1
Nicolas Viola,12/10/1989,1.65,Benevento,M,17,1042,5,1,3,1.55,1.55,3.60-1.40,0.55-0.45,1.32-1.68,2.33,1.44,0.31,0.05,0.11,0.42,0.16,0.2,0.12,0,0
Marco Sau,03/11/1987,0.55,Benevento,F M,24,765,4,3,2,1.29,2.24,2.31-1.69,1.55-1.45,1.49-0.51,2.29,0.49,0.27,0.18,0.18,0.45,0.36,0.27,0.06,1,1
Gaetano Letizia,29/06/1990,2.2,Benevento,D,24,1567,3,3,1,0.75,0.8,0.42-2.58,0.42-2.58,1.20+0.20,3.66,2.82,0.02,0.02,0.07,0.09,0.09,0.21,0.16,2,0
Luca Caldirola,01/02/1991,1.98,Benevento,D,25,1560,2,2,0,0.4,0.35,0.53-1.47,0.53-1.47,0.16+0.16,2.15,2.04,0.03,0.03,0.01,0.04,0.04,0.12,0.12,3,1
Artur Ionita,17/08/1990,1.98,Benevento,F M,36,2861,2,2,0,0.72,0.44,1.48-0.52,1.48-0.52,0.85+0.85,4.38,3.22,0.05,0.05,0.03,0.07,0.07,0.14,0.1,6,0
Roberto Insigne,11/05/1994,2.2,Benevento,F M,30,1598,2,2,4,2.2,2.25,3.69+1.69,3.69+1.69,3.85-0.15,9.6,3.03,0.21,0.21,0.22,0.42,0.42,0.54,0.17,2,0
Kamil Glik,03/02/1988,2.2,Benevento,D,36,3208,2,2,1,0.79,0.11,3.27+1.27,3.27+1.27,0.36-0.64,4.95,4.54,0.09,0.09,0.01,0.1,0.1,0.14,0.13,7,1
Adolfo Gaich,26/02/1999,8.8,Benevento,F,15,771,2,2,0,2.8,0.58,2.72+0.72,2.72+0.72,0.43+0.43,2.53,0.15,0.32,0.32,0.05,0.37,0.37,0.3,0.02,1,0
Pasquale Schiattarella,30/05/1987,1.1,Benevento,M,29,2257,1,1,1,0.44,1,0.60-0.40,0.60-0.40,2.26+1.26,8.08,6.71,0.02,0.02,0.09,0.11,0.11,0.32,0.27,13,1
Riccardo Improta,19/12/1993,1.65,Benevento,D M,34,2329,1,1,0,1.35,0.85,1.77+0.77,1.77+0.77,2.67+2.67,6.81,3.42,0.07,0.07,0.1,0.17,0.17,0.26,0.13,7,0
Alessandro Tuia,08/06/1990,0.88,Benevento,D,27,1766,1,1,0,0.41,0.15,0.48-0.52,0.48-0.52,0.49+0.49,2.37,2.29,0.02,0.02,0.02,0.05,0.05,0.12,0.12,6,0
Federico Barba,09/01/1993,1.65,Benevento,D,32,2661,0,0,2,0.44,0.44,0.54+0.54,0.54+0.54,1.53-0.47,4.67,4.18,0.02,0.02,0.05,0.07,0.07,0.16,0.14,8,0
Perparim Hetemaj,12/12/1986,0.99,Benevento,M,31,2236,0,0,2,0.48,0.6,0.59+0.59,0.59+0.59,1.16-0.84,3.04,1.73,0.02,0.02,0.05,0.07,0.07,0.12,0.07,5,0
Fabio Depaoli,24/04/1997,3.85,Benevento,D,15,1132,0,0,0,0.64,0.64,0.26+0.26,0.26+0.26,0.40+0.40,1.32,1.04,0.02,0.02,0.03,0.05,0.05,0.11,0.08,2,0
Bryan Dabo,18/02/1992,1.32,Benevento,M,25,1113,0,0,0,0.97,0.57,0.79+0.79,0.79+0.79,0.27+0.27,2.62,2.22,0.06,0.06,0.02,0.09,0.09,0.21,0.18,5,0
Lorenzo Montipò,20/02/1996,3.85,Benevento,GK,37,3330,0,0,0,0,0,0,0,0,1.73,1.73,0,0,0,0,0,0.05,0.05,3,0
Daam Foulon,23/03/1999,1.1,Benevento,D,23,1014,0,0,1,0.09,0.36,0.01+0.01,0.01+0.01,0.11-0.89,1.28,1.19,0,0,0.01,0.01,0.01,0.11,0.11,4,0
Andrés Tello,06/09/1996,0.825,Benevento,D,17,380,1,1,0,1.66,0.24,0.20-0.80,0.20-0.80,0.05+0.05,0.61,0.41,0.05,0.05,0.01,0.06,0.06,0.15,0.1,2,0
Iago Falque,04/01/1990,1.65,Benevento,M,11,355,1,1,1,2.79,3.04,0.37-0.63,0.37-0.63,0.78-0.22,1.67,0.82,0.09,0.09,0.2,0.29,0.29,0.42,0.21,0,0
Gabriele Moncini,26/04/1996,1.1,Benevento,F,10,351,0,0,0,2.05,0.77,0.98+0.98,0.98+0.98,0.18+0.18,1.35,0.29,0.25,0.25,0.05,0.3,0.3,0.35,0.07,0,0
Christian Maggio,11/02/1982,0.33,Benevento,D,8,294,0,0,0,0.61,0,0.06+0.06,0.06+0.06,0,0.19,0.19,0.02,0.02,0,0.02,0.02,0.06,0.06,2,0
Giuseppe Di Serio,20/07/2001,0.55,Benevento,F,16,253,0,0,0,1.42,0.36,0.56+0.56,0.56+0.56,0.01+0.01,0.74,0.17,0.2,0.2,0,0.2,0.2,0.26,0.06,1,0
Christian Pastina,15/02/2001,0.44,Benevento,S,3,118,0,0,1,0,0.76,0,0,0.37-0.63,0.39,0.02,0,0,0.28,0.28,0.28,0.3,0.02,1,0
Nicolò Manfredini,01/05/1988,0.165,Benevento,GK,1,90,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0.07,0.07,0,0
Lorenzo Del Pinto,17/06/1990,0.22,Benevento,S,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siriki Sanogo,13/12/2001,0.11,Benevento,S,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amadou Diambo,12/02/2001,0.22,Benevento,S,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Soriano,08/02/1991,11,Bologna,F M,37,3261,9,9,6,1.66,1.44,6.68-2.32,6.68-2.32,7.55+1.55,19.73,9.22,0.18,0.18,0.21,0.39,0.39,0.54,0.25,5,0
Musa Barrow,14/11/1998,22,Bologna,F M,38,2946,8,8,8,2.69,1.83,8.41+0.41,7.65-0.35,6.86-1.14,16.33,7.67,0.26,0.23,0.21,0.47,0.44,0.5,0.23,0,0
Riccardo Orsolini,24/01/1997,16.5,Bologna,D M,34,1760,7,4,3,2.91,1.48,9.02+2.02,6.74+2.74,2.51-0.49,10.94,4.43,0.46,0.34,0.13,0.59,0.47,0.56,0.23,0,0
